sk_direccion,num_documento,grupo_economico,kam,mes_antiguedad,nbr_departamento,nbr_provincia,nbr_distrito,nbr_direccion,avg_gpv_ext_3m,avg_ntrx_ext_3m,num_latitud,num_longitud,rank
3e6c0d9a3c7db058b729225a26c1ae6c0cfcdfe7142d619ba7efabdddd7c049a,20610319581,ANIMAL DRUG E.I.R.L.,ANABEL SANTAMARIA,12.0,LIMA,LIMA,BREÑA,AV ALFONSO UGARTE 848,52487.45666667,792.0,-12.0494369,-77.0445731,1
791be475957a7173a44df625dea26b690748be6b85ad49bdb79e54167feeb9c4,20512286349,ASOCIACIÓN FONDO DE INVESTIGADORES Y EDITORES - AFINED,ANABEL SANTAMARIA,69.0,LIMA,LIMA,LIMA,"AV. ALFONSO UGARTE 1426 A 1 CDRA. DE LA PLAZA BOLOGNESI, LIMA, PERU",53715.0,169.0,-12.058712,-77.041911,2
5a0689b76fb6d3140cfad8627df0c6db809728df708257d3be70bdcb7fa50dd8,20160535386,ASOCIACIÓN CULTURAL GAMOR,ANABEL SANTAMARIA,26.0,LIMA,LIMA,LIMA,"PLAZA BOLOGNESI - PISO 1 - REF PLAZA BOLOGNESI, LIMA, LIMA, LIMA, PERÚ",20958.16666667,51.0,-12.0606794,-77.041304,3
bab06a2b7766c3838cc8e1be8af02ae128270acdc8c26962cb99b6c3d3c230d2,20160535386,ASOCIACIÓN CULTURAL GAMOR,ANABEL SANTAMARIA,28.0,LIMA,LIMA,LIMA,"PLAZA BOLOGNESI 445 - PISO 1 - REF ALT. DE PLAZA BOLOGNESI, LIMA, LIMA, LIMA, PERÚ",39568.3,92.0,-12.0607217,-77.0408933,4
da29f54fd9bae5f566458db75d1d9a5d6e3a0b0268e6bc13a5afdbbf74a9fe4b,20138755615,ASOCIACIÓN CULTURAL GAMOR,ANABEL SANTAMARIA,26.0,LIMA,LIMA,LIMA,"PLAZA BOLOGNESI 445 - PISO 1 - REF PLAZA BOLOGNESI, LIMA, LIMA, LIMA, PERÚ",150175.5,196.0,-12.0607217,-77.0408933,5
